dates,x,y,transect_id,cross_distance,shore_x,shore_y
2023-06-10T14:50:46,-75.74642519269841,36.18016063768866,htl159,57.147870882727474,-75.74885602227613,36.17948709573775
2023-06-10T14:50:46,-75.7614350399501,36.216967808864275,htl269,51.913032746083545,-75.76551222102512,36.215710476568205
2023-06-10T14:50:46,-75.75401491037806,36.200407110610385,htl215,71.72769419687403,-75.75744981052453,36.19954259014727
2023-06-10T14:50:46,-75.75417897572189,36.20083830833597,htl216,87.12634035058713,-75.75762727075585,36.1999686478084
2023-06-10T14:50:46,-75.76388752728,36.22249094669827,htl287,53.31274658248947,-75.76796925848707,36.221181851805554
2023-06-10T14:50:46,-75.75431980893461,36.201275368212215,htl217,88.5999459154974,-75.75778769712834,36.20039898716154
2023-06-10T14:50:46,-75.75443697776932,36.20171843486096,htl218,85.94026564005569,-75.75797922983165,36.20082144317729
2023-06-10T14:50:46,-75.75465128822958,36.20213689372547,htl219,89.24277154591111,-75.75818659313268,36.20123984411953
2023-06-10T14:50:46,-75.76388752728,36.22249094669827,htl286,53.31274658248947,-75.76796925848707,36.221181851805554
2023-06-10T14:50:46,-75.75487912263232,36.20255185375939,htl220,93.1146620729413,-75.7583735294814,36.20166338493332
2023-06-10T14:50:46,-75.75505269176398,36.20298135417937,htl221,86.76277456799325,-75.75858855824791,36.20207783696273
2023-06-10T14:50:46,-75.7552202166466,36.20341244297525,htl222,81.044939305991,-75.75886837799813,36.20247528275951
2023-06-10T14:50:46,-75.76372057148038,36.22205922606852,htl285,63.18488514790585,-75.76778007986903,36.22076030732827
2023-06-10T14:50:46,-75.7553877380846,36.203843500479735,htl223,64.98282995787659,-75.75912599083544,36.202878121641355
2023-06-10T14:50:46,-75.7555812112846,36.20426778864099,htl224,63.95478085243633,-75.75933641499408,36.2032929293087
2023-06-10T14:50:46,-75.7555812112846,36.20426778864099,htl225,63.95478085243633,-75.75933641499408,36.2032929293087
2023-06-10T14:50:46,-75.76372057148038,36.22205922606852,htl284,63.18488514790585,-75.76778007986903,36.22076030732827
2023-06-10T14:50:46,-75.7555812112846,36.20426778864099,htl226,63.95478085243633,-75.75933641499408,36.2032929293087
2023-06-10T14:50:46,-75.75577902902592,36.204690839841156,htl227,73.80533201833171,-75.75947955479768,36.20372514260345
2023-06-10T14:50:46,-75.75597748264462,36.20511360946274,htl228,72.28306009880282,-75.75963891693445,36.204153128801835
2023-06-10T14:50:46,-75.76355010346725,36.221628669822074,htl283,56.153643476644504,-75.76759293304073,36.22033812229086
2023-06-10T14:50:46,-75.75617957747565,36.20553530191831,htl229,71.68013279726588,-75.75986054647912,36.20456467918023
2023-06-10T14:50:46,-75.76388752728,36.22249094669827,htl288,53.31274658248947,-75.76796925848707,36.221181851805554
2023-06-10T14:50:46,-75.75375035494989,36.199528753062445,htl213,77.09037387419644,-75.75709984134924,36.1986891634404
2023-06-10T14:50:46,-75.75360850397462,36.19909200429717,htl212,75.21692634178069,-75.7569545823955,36.19825498247938
2023-06-10T14:50:46,-75.75343232945598,36.198663837590644,htl211,76.61099251721504,-75.75675738309185,36.19783377834064
2023-06-10T14:50:46,-75.75096033496226,36.19174267563519,htl195,74.74059048005488,-75.75373643967201,36.19103172621637
2023-06-10T14:50:46,-75.76453134048725,36.22374021583065,htl294,67.72278978655305,-75.76839000887342,36.222493957006265
2023-06-10T14:50:46,-75.75112494465958,36.19217218691517,htl196,76.74845082316386,-75.75390283004306,36.191463116460625
2023-06-10T14:50:46,-75.7513112342268,36.192596199712035,htl197,87.71420971776061,-75.7540318371,36.19190403646914
2023-06-10T14:50:46,-75.7514216012995,36.1930395166148,htl198,88.28432686268631,-75.75421004508722,36.192332435479805
2023-06-10T14:50:46,-75.76453134048725,36.22374021583065,htl293,67.72278978655305,-75.76839000887342,36.222493957006265
2023-06-10T14:50:46,-75.7516227120948,36.19345982682058,htl199,83.55848595550553,-75.75441621160992,36.19275380643661
2023-06-10T14:50:46,-75.75176482949767,36.19389507469014,htl200,79.40529327249328,-75.75462990294595,36.19317336700718
2023-06-10T14:50:46,-75.7519067980217,36.19433033916414,htl201,76.48848409701384,-75.75482103791808,36.19359868864362
2023-06-10T14:50:46,-75.7642924144129,36.22333164859674,htl292,67.00605383249895,-75.76821335995656,36.22206822727368
2023-06-10T14:50:46,-75.75638162643313,36.20595687954074,htl230,70.013855627267,-75.76010080259842,36.20497110690758
2023-06-10T14:50:46,-75.75204499236283,36.19476652705015,htl202,80.01075478978112,-75.75500305875458,36.194026350925256
2023-06-10T14:50:46,-75.75220013467921,36.19566895416844,htl204,74.55562521007668,-75.755392341015,36.19487553530673
2023-06-10T14:50:46,-75.76407213344591,36.22291703644787,htl291,59.01704160182528,-75.76810513268914,36.22162054104705
2023-06-10T14:50:46,-75.75236747720241,36.19609773873561,htl205,79.34225070819619,-75.75560882805404,36.19529481399087
2023-06-10T14:50:46,-75.75253168693432,36.196527567693025,htl206,76.86258510798613,-75.75579234953557,36.195721925391396
2023-06-10T14:50:46,-75.75269361017158,36.19695937948051,htl207,76.56157748490132,-75.75594521563153,36.19615431339455
2023-06-10T14:50:46,-75.76388752728,36.22249094669827,htl290,53.31274658248947,-75.76796925848707,36.221181851805554
2023-06-10T14:50:46,-75.75282995671535,36.19739752963749,htl208,74.07417317536293,-75.7561752989951,36.19656754437951
2023-06-10T14:50:46,-75.75292673730911,36.1978455353495,htl209,69.26420676352683,-75.75640446787845,36.19698092552534
2023-06-10T14:50:46,-75.75321243682323,36.19824653984892,htl210,72.85777678449651,-75.7566167854132,36.197398428853425
